month,escola,slug,tutores,second_tutor,docs_fiscais (15_dias),mensagens (7_dias),atividades (7_dias),relatorios_diarios (7_dias),avaliacoes (7_dias),menus (7_dias),eventos (15_dias)
Mar,"Externato ""O Pirilampo""",https://externatopirilampo.educabiz.com,55.0,13.0,66.0,161.0,5.0,155.0,1229.0,0.0,2.0
Mar,Cáritas Diocesana Bragança-Miranda,https://caritasbm.educabiz.com,164.0,22.0,0.0,1057.0,9.0,589.0,4117.0,0.0,0.0
Mar,Centro Infantil de Valbom,https://civ.educabiz.com,95.0,1.0,0.0,664.0,21.0,420.0,3087.0,4.0,1.0
Mar,Infantário Nuno Simões,https://inf-ns.educabiz.com,230.0,90.0,0.0,2133.0,40.0,714.0,6362.0,1.0,2.0
Mar,ASR Guerra Junqueiro,https://crechemaemaria.educabiz.com,55.0,12.0,37.0,279.0,0.0,165.0,941.0,0.0,0.0
Mar,Misericórdia de S. Brás de Alportel,https://misericordiasaobras.educabiz.com,124.0,12.0,0.0,480.0,0.0,246.0,918.0,0.0,4.0
Mar,Colégio A Casinha Mágica,https://casinhamagica.educabiz.com,219.0,14.0,86.0,1683.0,0.0,458.0,1663.0,0.0,3.0
Mar,Centro Paroquial de Cacilhas,https://cpcacilhas.educabiz.com,59.0,3.0,127.0,238.0,0.0,47.0,700.0,0.0,1.0
Mar,Creche e Jardim Infância D. Emília Jesus Costa,https://scmg.educabiz.com,211.0,23.0,0.0,816.0,10.0,105.0,1257.0,0.0,0.0
Mar,CATICA,https://catica.educabiz.com,118.0,6.0,0.0,1092.0,0.0,192.0,982.0,0.0,0.0
Mar,Centro Humanitário de Lisboa da Cruz,https://crecheninoni.educabiz.com,52.0,3.0,0.0,198.0,0.0,0.0,596.0,0.0,0.0
Mar,"Didodi, Cruz Vermelha Portuguesa",https://crechedidodi.educabiz.com,31.0,6.0,0.0,67.0,0.0,87.0,733.0,0.0,0.0
Mar,Centro Paroquial de Almeirim,https://cpalmeirim.educabiz.com,211.0,25.0,241.0,709.0,0.0,440.0,2578.0,0.0,6.0
